,coin,acc_trade_vol,traded_time,traded_price,ask_bid,high,dev,24h_vol
0,KRW-BTC,5750.42334271,1714500398.466811,86874000.0,BID,92540000.0,0.0,577517808937.0522
1,KRW-ETH,31123.53245315,1714500398.4754229,4290000.0,BID,4653000.0,0.0,156480099887.04108
2,KRW-NEO,3884651.28837141,1714500398.476247,24250.0,ASK,27860.0,-0.0,120112599179.49193
3,KRW-MTL,3128275.13951988,1714500398.476855,2193.0,BID,2407.0,0.0,7863325900.567751
4,KRW-XRP,171204897.36070552,1714500398.477584,713.9,BID,743.4,0.0,139569581780.17416
5,KRW-ETC,1440741.65413024,1714500398.478358,36290.0,ASK,40110.0,-0.0,61040959551.7981
6,KRW-SNT,29233287.57930251,1714500398.479468,53.13,BID,56.9,0.0,1728040008.6522653
7,KRW-WAVES,18967732.52268359,1714500398.4805949,3253.0,BID,3763.0,0.0,88557014176.18356
8,KRW-XEM,54359920.48611907,1714500398.481229,50.2,BID,53.99,0.0,3250136971.6175737
9,KRW-QTUM,1754508.76709221,1714500398.482103,5290.0,ASK,5830.0,-0.0,12128791839.967756
10,KRW-LSK,5730149.79844358,1714500398.776323,2280.0,BID,2427.0,0.0,14954762367.163841
11,KRW-STEEM,187435397.91637364,1714500398.778465,399.9,ASK,436.2,-0.0,77352521288.0823
12,KRW-XLM,29277368.369454,1714500398.7798321,152.0,BID,161.7,0.0,5052973068.718797
13,KRW-ARDR,21888280.54593086,1714500398.7807841,143.8,BID,162.0,0.0,3618473690.582613
14,KRW-ARK,2628923.76109021,1714500398.782028,1022.0,BID,1129.0,0.0,3471930049.7979107
15,KRW-STORJ,5845148.74414856,1714500398.783247,716.7,ASK,794.1,-0.0,5601692895.850601
16,KRW-GRS,1861624.71722602,1714500398.784253,726.0,BID,760.5,0.0,1542918890.8457003
17,KRW-ADA,23357942.07752499,1714500398.7850618,625.3,BID,662.8,0.0,16559454692.911127
18,KRW-SBD,1531270.91276609,1714500398.785822,5252.0,ASK,5527.0,-0.0,8415358441.319309
19,KRW-POWR,32510999.77109802,1714500398.7865841,400.8,ASK,444.3,-0.0,15320144849.604387
20,KRW-BTG,174653.46992786,1714500398.78735,43540.0,BID,46200.0,0.0,8475708421.992929
21,KRW-ICX,11819048.74795554,1714500398.7880871,305.0,ASK,334.8,-0.0,4140807324.025502
22,KRW-EOS,26179755.07982569,1714500398.7888288,1093.0,BID,1204.0,0.0,31212188287.85899
23,KRW-TRX,91433611.35795301,1714500398.7895958,171.0,BID,172.7,0.0,16989356032.653412
24,KRW-SC,614310755.3617496,1714500398.7905972,9.9,ASK,10.6,-0.0,6785693634.127033
25,KRW-ONT,158587088.80987057,1714500398.791256,534.5,BID,589.8,0.0,101279419705.98772
26,KRW-ZIL,138163856.8204017,1714500398.792031,32.16,ASK,35.25,-0.0,5090367705.107942
27,KRW-POLYX,62684499.16592369,1714500398.7926772,483.8,ASK,539.6,-0.0,37687763912.74468
28,KRW-ZRX,9450783.27272416,1714500398.793328,656.3,BID,721.4,0.0,7247664793.242758
29,KRW-LOOM,79455953.21029761,1714500398.794009,112.8,ASK,125.2,-0.0,11265469846.648129
30,KRW-BCH,33950.43363677,1714500398.794699,616000.0,ASK,673200.0,-0.0,24386055639.140945
31,KRW-BAT,5589175.83047068,1714500398.795371,338.3,BID,360.6,0.0,2202249371.7651734
32,KRW-IOST,273489308.9238955,1714500398.796056,12.56,BID,13.66,0.0,3894193134.4262576
33,KRW-CVC,189027415.2087514,1714500398.7966669,217.1,ASK,254.0,-0.0,46680936942.73277
34,KRW-IQ,526179665.903088,1714500398.797415,12.25,ASK,13.33,-0.0,8063436330.889147
35,KRW-IOTA,12764298.97731219,1714500398.798178,300.5,BID,326.8,0.0,4260756029.4424586
36,KRW-HIFI,7887743.85357299,1714500398.798839,1013.0,ASK,1140.0,-0.0,9687902094.532438
37,KRW-ONG,83789877.31495821,1714500398.799485,859.6,ASK,938.8,-0.0,92814407577.15356
38,KRW-GAS,1408836.74291192,1714500398.800108,7072.0,BID,7970.0,0.0,11922420946.309116
39,KRW-UPP,19465951.54857899,1714500398.800745,113.4,ASK,121.0,-0.0,2470819916.751709
40,KRW-ELF,59059825.07230646,1714500398.801378,782.2,BID,965.8,0.0,54768903320.11314
41,KRW-KNC,2186737.31899793,1714500398.802026,779.6,ASK,848.0,-0.0,2011197670.2004793
42,KRW-BSV,74889.94246411,1714500398.803327,85770.0,BID,94680.0,0.0,7606266462.446051
43,KRW-THETA,6328393.76878896,1714500398.804034,2834.0,ASK,3227.0,-0.0,22819140751.165516
44,KRW-QKC,102386980.83931178,1714500398.804636,16.19,ASK,17.68,-0.0,1946048221.8899155
45,KRW-BTT,9436341585444.922,1714500398.805238,0.00174,ASK,0.001885,-0.0,18419731554.376778
46,KRW-MOC,27522986.13182935,1714500398.805825,135.5,BID,146.1,0.0,4011919299.874013
47,KRW-TFUEL,151172943.51641113,1714500398.806459,142.4,ASK,162.5,-0.0,25046483430.317318
48,KRW-MANA,12147293.0355975,1714500398.8070881,585.9,BID,633.7,0.0,7853531010.325264
49,KRW-ANKR,164897332.24473777,1714500398.807733,66.42,BID,77.47,0.0,14076487806.881012
50,KRW-AERGO,24424887.85623887,1714500398.808356,178.6,BID,191.5,0.0,4893288017.394969
51,KRW-ATOM,285830.95989667,1714500398.808971,11250.0,BID,11780.0,0.0,3680071517.965277
52,KRW-TT,505749382.4686247,1714500398.809582,6.166,BID,6.6,0.0,3669093155.692499
53,KRW-CRE,433037716.2944385,1714500398.8102348,7.549,ASK,8.4,-0.0,3680424202.496179
54,KRW-MBL,422686804.51470053,1714500398.8108559,5.9,BID,6.365,0.0,2881936654.420001
55,KRW-WAXP,53708213.40662605,1714500398.811475,88.29,BID,96.88,0.0,5401329541.184576
56,KRW-HBAR,136284563.28103307,1714500398.8120902,132.9,BID,148.7,0.0,23092954496.70566
57,KRW-MED,545706993.1102326,1714500398.812664,16.89,ASK,19.59,-0.0,10121286204.749422
58,KRW-MLK,161719093.38332254,1714500398.813249,469.4,BID,521.5,0.0,78433760322.9732
59,KRW-STPT,32214153.73645858,1714500398.813855,75.2,ASK,82.62,-0.0,2906208555.8515935
60,KRW-ORBS,153031250.76916718,1714500398.8144488,46.9,BID,50.83,0.0,8099531072.375581
61,KRW-VET,242240785.25434202,1714500398.815042,51.06,ASK,57.9,-0.0,15430733183.997551
62,KRW-CHZ,69426233.63513383,1714500398.81565,151.5,BID,167.4,0.0,11736595710.87162
63,KRW-STMX,359227208.15132195,1714500398.8162801,10.16,BID,10.95,0.0,4022250521.8952837
64,KRW-DKA,83327182.41703077,1714500398.816926,40.96,ASK,45.3,-0.0,3782310586.6216364
65,KRW-HIVE,4699119.00192016,1714500398.8175502,435.9,ASK,469.9,-0.0,2575418004.753612
66,KRW-KAVA,4252765.39804314,1714500398.818181,912.3,ASK,995.9,-0.0,4478837642.845587
67,KRW-AHT,190825831.0063047,1714500398.8188071,9.71,ASK,10.44,-0.0,2049441516.7273576
68,KRW-LINK,443677.5979725,1714500398.8194299,18760.0,BID,20340.0,0.0,10248342084.4045
